Price_in_Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year),Rating,Dual_sim_num
5999,14,2,16.0,256,61,5,4000,1,4.5,1
5999,14,2,16.0,256,61,5,4000,1,4.5,1
8990,49,3,64.0,256,55,8,3300,1,4.3,1
10000,10,2,16.0,128,5,5,2630,1,4.2,1
10000,10,3,16.0,256,52,5,3000,1,4.2,1
9800,25,3,16.0,256,52,5,3000,1,4.2,1
9799,10,3,16.0,256,52,5,3000,1,4.4,1
10000,10,1,16.0,32,5,5,2420,0,3.8,1
7990,27,2,32.0,256,61,5,4000,1,4.4,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
8990,49,3,64.0,256,55,8,3300,1,4.3,1
13999,12,4,64.0,256,63,13,4000,1,4.5,1
13999,12,4,64.0,256,63,13,4000,1,4.5,1
16999,5,6,128.0,256,63,13,4000,1,4.5,1
16999,5,6,128.0,256,63,13,4000,1,4.5,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
9999,16,3,64.0,256,622,13,4230,1,4.5,1
9990,28,3,32.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.3,1
7990,27,2,32.0,256,61,5,4000,1,4.4,1
8990,10,2,16.0,256,57,8,3180,1,4.2,1
8990,10,2,16.0,256,57,8,3180,1,4.2,1
8620,10,3,16.0,256,52,5,3000,1,4.4,1
10990,10,3,16.0,256,52,5,3000,1,4.4,1
9990,10,2,16.0,128,5,5,2630,0,4.2,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
8999,18,3,32.0,256,622,13,4230,1,4.5,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
8999,18,3,32.0,256,622,13,4230,1,4.5,1
7999,11,3,32.0,256,61,5,4000,1,4.4,1
7999,11,3,32.0,256,61,5,4000,1,4.4,1
59999,34,64,0.0,256,58,5,3000,1,4.6,1
8499,34,4,64.0,2,599,8,5000,1,4.3,1
15999,11,6,64.0,256,63,25,4045,1,4.5,1
16999,15,6,128.0,256,63,25,4045,1,4.5,1
13999,12,4,64.0,256,63,25,4045,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
59999,34,64,0.0,256,58,16,4000,1,4.6,1
6999,22,3,32.0,256,545,5,3000,1,4.4,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
3945,60,1,16.0,64,55,2,2200,0,3.7,1
3880,60,1,8.0,64,5,2,2300,0,3.5,1
3999,20,1,8.0,32,5,0,2050,0,4.0,1
3959,1,1,8.0,32,5,0,2050,0,4.0,1
3959,1,1,8.0,32,5,0,2050,0,4.0,1
3250,24,1,8.0,32,4,0,1700,0,3.8,1
3699,2,1,8.0,32,534,5,2700,0,4.1,1
3699,26,1,8.0,32,4,5,1600,0,3.6,1
3999,30,1,8.0,32,5,2,2000,1,4.0,1
3897,43,2,16.0,32,5,5,3000,1,3.3,1
4699,9,15,16.0,128,5,5,3900,0,3.8,1
3860,9,1,8.0,32,534,5,3000,0,3.7,1
8990,30,2,32.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.4,1
8990,30,2,32.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.4,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
13999,12,4,64.0,256,63,13,4000,1,4.5,1
13999,12,4,64.0,256,63,13,4000,1,4.5,1
9999,16,3,64.0,256,622,13,4230,1,4.5,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
13999,12,4,64.0,256,63,25,4045,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
13999,12,4,64.0,256,63,25,4045,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
11999,25,4,64.0,256,626,20,4000,1,4.5,1
29990,40,8,128.0,256,64,25,3700,1,4.4,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
13990,26,4,64.0,256,62,16,4230,1,4.4,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
11990,25,4,64.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.3,1
11990,25,4,32.0,256,62,8,4230,1,4.3,1
8990,30,2,32.0,256,62,8,4230,1,4.3,1
13990,26,4,64.0,256,62,16,4230,1,4.4,1
9990,28,3,32.0,256,62,8,4230,1,4.4,1
6999,22,3,32.0,256,545,5,3000,1,4.4,1
6999,22,3,32.0,256,545,5,3000,1,4.4,1
6999,12,2,32.0,256,621,8,3500,1,4.2,1
6999,22,2,32.0,256,62,5,4230,1,4.4,1
6999,22,2,32.0,256,62,5,4230,1,4.4,1
6999,22,2,16.0,256,62,5,4230,1,4.4,1
6999,12,2,32.0,256,621,8,3500,1,4.2,1
6999,12,2,32.0,256,621,8,3500,1,4.2,1
6670,3,2,32.0,128,545,8,3000,0,4.3,1
6739,1,2,32.0,128,545,8,3000,0,4.3,1
6894,1,2,32.0,128,545,8,3000,0,4.3,1
6545,1,2,16.0,128,545,5,3000,0,4.3,1
6799,1,2,32.0,128,545,5,3000,0,4.3,1
6999,12,3,32.0,256,545,8,4000,1,4.0,1
6465,1,2,16.0,128,545,5,3000,0,4.3,1
6499,1,2,16.0,128,55,5,3000,0,4.1,1
6475,1,2,16.0,128,545,5,3000,0,4.3,1
6990,17,2,16.0,128,57,5,3300,1,4.3,1
6289,37,3,32.0,128,585,5,3000,0,3.7,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
6999,10,2,16.0,128,57,8,4000,0,4.0,1
5046,13,1,8.0,128,55,8,4000,0,4.1,1
6450,3,2,16.0,128,545,8,3000,0,4.3,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
9999,16,3,64.0,256,622,13,4230,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
7990,8,2,32.0,512,62,5,3400,1,4.3,1
7999,33,3,32.0,128,6,5,5000,0,4.2,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
9990,9,3,32.0,256,622,8,4030,1,4.4,1
9999,28,3,32.0,512,621,24,3400,1,4.3,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
8990,30,2,32.0,256,62,8,4230,1,4.3,1
9399,41,4,64.0,128,55,5,3080,1,4.4,1
9990,28,3,32.0,256,62,8,4230,1,4.4,1
8990,30,2,32.0,256,62,8,4230,1,4.3,1
9990,28,3,32.0,256,62,8,4230,1,4.4,1
9999,28,3,32.0,512,621,24,3400,1,4.3,1
9999,25,4,64.0,256,599,16,3080,1,4.4,1
9195,63,4,64.0,256,618,16,3000,1,4.1,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
9999,25,4,64.0,256,599,16,3080,1,4.4,1
7990,20,2,32.0,256,622,5,4030,1,4.3,1
4799,20,1,16.0,128,5,5,3000,1,4.3,1
4499,25,1,8.0,128,5,5,3000,1,4.3,1
4799,20,1,16.0,128,5,5,3000,1,4.3,1
4499,35,2,16.0,128,545,8,3050,1,4.1,1
4999,37,2,16.0,128,545,5,4000,1,4.0,1
4999,37,2,16.0,128,545,5,4000,1,4.0,1
4999,37,2,16.0,128,545,5,4000,1,4.0,1
4749,32,1,16.0,32,545,5,5000,1,3.9,1
4990,41,2,16.0,256,545,5,2670,1,4.1,1
4245,3,1,8.0,128,45,2,2150,0,4.0,1
4799,2,2,16.0,128,534,2,3000,0,4.1,1
4999,28,2,16.0,256,545,5,3000,1,4.2,1
4119,19,2,16.0,128,534,5,3000,0,4.1,1
3849,3,1,8.0,128,534,5,2700,0,4.1,1
4999,30,2,16.0,32,545,5,3000,0,4.1,1
4290,30,1,8.0,32,45,5,2150,0,4.0,1
4999,16,2,16.0,128,545,5,2350,0,4.3,1
4999,23,1,16.0,32,545,5,3000,1,4.1,1
3999,23,1,8.0,32,45,5,2000,0,3.7,1
3999,33,1,8.0,64,45,5,2000,0,3.7,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
12999,7,4,64.0,256,63,13,4000,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
11999,29,6,64.0,128,599,20,4000,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
11999,25,4,64.0,256,626,20,4000,1,4.5,1
10490,25,4,64.0,256,63,16,3500,1,4.5,1
10490,25,4,64.0,256,63,16,3500,1,4.5,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
12490,21,6,64.0,256,63,16,3500,1,4.5,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
4499,10,1,16.0,128,5,5,2550,1,3.8,1
4599,10,2,16.0,32,5,5,2000,0,3.7,1
4999,23,1,16.0,32,545,5,3000,1,4.1,1
4499,24,1,16.0,64,5,5,2500,0,4.0,1
5999,14,2,16.0,256,61,5,4000,1,4.5,1
5999,14,2,16.0,256,61,5,4000,1,4.5,1
5499,38,2,16.0,256,545,5,3020,0,4.1,1
4799,20,1,16.0,128,5,5,3000,1,4.3,1
5999,14,2,16.0,256,545,8,4000,1,4.1,1
5999,45,3,32.0,128,6,8,3000,1,3.6,1
5999,25,3,32.0,128,545,8,3050,1,4.0,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
4749,32,1,16.0,32,545,5,5000,1,3.9,1
4245,3,1,8.0,128,45,2,2150,0,4.0,1
4799,2,2,16.0,128,534,2,3000,0,4.1,1
5290,10,1,16.0,256,5,5,2600,1,4.2,1
4119,19,2,16.0,128,534,5,3000,0,4.1,1
4290,19,1,8.0,32,45,5,2150,0,4.0,1
4999,30,2,16.0,32,545,5,3000,0,4.1,1
4999,16,2,16.0,32,5,5,2600,0,3.5,1
4999,27,2,16.0,32,5,5,4000,0,3.6,1
3490,37,1,8.0,128,45,5,2000,1,3.3,1
5499,5,2,16.0,32,534,8,3000,0,4.0,1
5390,8,1,16.0,256,5,5,2600,1,4.2,1
3999,8,1,8.0,32,45,5,2000,0,3.7,1
4999,23,1,16.0,32,545,5,3000,1,4.1,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
10990,26,3,64.0,256,622,8,4030,1,4.4,1
13990,12,4,64.0,256,635,8,5000,1,4.4,1
13990,12,4,64.0,256,635,8,5000,1,4.4,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
14459,26,4,64.0,256,58,8,3060,1,4.2,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
3999,33,1,8.0,64,45,5,2000,0,3.7,1
5490,14,1,8.0,256,5,5,2600,1,4.2,1
4599,14,2,16.0,32,5,5,2000,0,3.7,1
4999,23,1,16.0,32,545,5,3000,1,4.1,1
6899,1,2,16.0,128,57,13,3020,0,3.9,1
7999,11,3,32.0,256,61,5,4000,1,4.4,1
7999,11,3,32.0,256,61,5,4000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7499,28,3,64.0,256,545,5,3000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7499,28,3,64.0,256,545,5,3000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7499,28,3,64.0,256,545,5,3000,1,4.4,1
7499,28,3,64.0,256,545,5,3000,1,4.4,1
6999,22,2,32.0,256,62,5,4230,1,4.4,1
7999,42,3,32.0,256,565,13,3000,0,4.3,1
7990,8,2,32.0,512,62,5,3400,1,4.3,1
6670,3,2,32.0,128,545,5,3000,0,4.3,1
7999,33,3,32.0,128,6,5,5000,0,4.2,1
6799,33,2,32.0,128,545,5,3000,0,4.3,1
7999,27,3,32.0,2,599,8,5000,1,4.3,1
6730,15,2,32.0,128,545,8,3000,0,4.3,1
7990,33,2,16.0,256,62,8,4230,1,4.3,1
7990,20,2,32.0,256,622,5,4030,1,4.3,1
26600,8,4,64.0,256,57,16,3300,0,4.4,1
14499,27,4,64.0,256,6,16,3500,1,4.4,1
18490,11,4,64.0,512,64,25,4000,1,4.3,1
21490,10,6,64.0,512,64,25,4000,1,4.4,1
15990,28,4,64.0,512,6,24,3300,1,4.3,1
19990,18,6,128.0,512,6,24,3300,1,4.4,1
25500,18,4,64.0,256,56,16,3000,1,4.4,1
17500,4,4,64.0,512,64,16,4000,1,4.4,1
15990,28,4,64.0,512,6,24,3300,1,4.3,1
7990,20,2,32.0,256,622,5,4030,1,4.3,1
7999,20,3,32.0,128,57,5,3300,1,4.3,1
3499,30,1,8.0,32,5,2,2000,1,4.1,1
3499,30,1,8.0,32,5,2,2000,1,4.1,1
4245,3,1,8.0,128,45,2,2150,0,4.0,1
3849,3,1,8.0,128,534,5,2700,0,4.1,1
3999,3,1,8.0,32,45,5,2000,0,3.7,1
3999,46,1,16.0,64,534,5,2300,1,4.0,1
3999,33,1,8.0,64,45,5,2000,0,3.7,1
3988,33,2,16.0,32,55,5,2800,1,3.7,1
3699,33,1,16.0,32,5,2,2000,0,3.5,1
3249,1,1,8.0,32,45,2,1800,0,3.0,1
4199,16,1,8.0,32,5,2,2000,1,3.8,1
4149,16,1,8.0,8,5,2,2300,0,3.6,1
7990,27,2,32.0,256,61,5,4000,1,4.4,1
7999,20,3,32.0,128,52,8,4000,1,4.1,1
16999,20,3,32.0,128,55,5,5100,1,4.3,1
9399,6,4,64.0,128,55,13,4000,1,4.1,1
15499,6,3,32.0,128,5,8,3500,1,3.9,1
7990,27,2,32.0,256,61,5,4000,1,4.4,1
6649,29,2,16.0,256,55,5,3000,0,4.1,1
8990,49,3,64.0,256,55,8,3300,1,4.3,1
8990,49,3,64.0,256,55,8,3300,1,4.3,1
8999,18,3,32.0,256,622,13,4230,1,4.5,1
8999,18,3,32.0,256,622,13,4230,1,4.5,1
8499,34,4,64.0,2,599,8,5000,1,4.3,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
6999,22,2,32.0,256,62,5,4230,1,4.4,1
8499,15,3,32.0,256,62,5,4230,1,4.4,1
8495,5,2,32.0,256,62,5,4230,1,4.4,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
8999,35,3,32.0,256,584,16,3000,0,4.4,1
8999,10,3,32.0,256,621,32,4000,1,4.2,1
8999,43,4,64.0,256,584,16,3000,0,4.3,1
8999,43,4,64.0,256,584,16,3000,0,4.3,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8999,10,3,32.0,256,621,32,4000,1,4.2,1
8999,10,3,32.0,256,621,32,4000,1,4.2,1
8999,35,3,32.0,256,565,13,3000,0,4.3,1
7990,8,2,32.0,512,62,5,3400,1,4.3,1
7999,33,3,32.0,128,6,5,5000,0,4.2,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
9999,16,3,64.0,256,622,13,4230,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
9999,23,3,32.0,256,63,13,4000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
10490,25,4,64.0,256,63,16,3500,1,4.5,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
10990,26,3,64.0,256,622,8,4030,1,4.4,1
10999,45,4,128.0,256,584,16,3000,0,4.3,1
10999,45,4,128.0,256,584,16,3000,0,4.3,1
7990,8,2,32.0,512,62,5,3400,1,4.3,1
7999,33,3,32.0,128,6,5,5000,0,4.2,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
10990,21,4,64.0,256,62,8,4230,1,4.3,1
9990,9,3,32.0,256,622,8,4030,1,4.4,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
10999,15,4,64.0,256,622,13,4230,1,4.4,1
9999,16,3,64.0,256,622,13,4230,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
9999,23,3,32.0,256,63,13,4000,1,4.4,1
11999,25,4,64.0,256,626,20,4000,1,4.5,1
10999,8,3,32.0,256,63,13,4000,1,4.4,1
7999,23,3,32.0,256,599,16,3080,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
11999,29,6,64.0,128,599,20,4000,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
10490,25,4,64.0,256,63,16,3500,1,4.5,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
9999,23,3,32.0,256,63,13,4000,1,4.4,1
11999,25,4,64.0,256,626,20,4000,1,4.5,1
10990,26,3,64.0,256,622,8,4030,1,4.4,1
10999,45,4,128.0,256,584,16,3000,0,4.3,1
10999,45,4,128.0,256,584,16,3000,0,4.3,1
7990,8,2,32.0,512,62,5,3400,1,4.3,1
16999,5,6,128.0,256,63,13,4000,1,4.5,1
16999,5,6,128.0,256,63,13,4000,1,4.5,1
15999,11,6,64.0,256,63,25,4045,1,4.5,1
16999,15,6,128.0,256,63,25,4045,1,4.5,1
15999,11,6,64.0,256,63,25,4045,1,4.5,1
16999,5,6,128.0,256,63,13,4000,1,4.5,1
15990,15,4,128.0,256,635,8,5000,1,4.3,1
15990,15,4,128.0,256,635,8,5000,1,4.3,1
19990,25,6,64.0,256,653,32,4000,1,4.4,1
15490,13,4,64.0,512,64,16,4000,1,4.4,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
13990,26,4,64.0,256,62,16,4230,1,4.4,1
18599,2,6,128.0,256,65,16,3750,0,4.4,1
18450,2,6,128.0,256,65,16,3750,0,4.4,1
13990,26,4,64.0,256,622,20,4030,1,4.4,1
13990,26,4,64.0,256,622,20,4030,1,4.4,1
17999,18,6,64.0,256,618,20,4000,1,4.6,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
11999,29,6,64.0,128,599,20,4000,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
9490,26,4,64.0,256,56,8,3000,1,4.5,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
8490,39,3,32.0,256,61,5,3260,1,4.4,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
20999,16,6,128.0,256,618,20,4000,1,4.6,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
19990,25,6,64.0,256,653,32,4000,1,4.4,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
8999,55,4,64.0,128,59,13,3340,0,4.3,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
23990,20,6,128.0,256,65,16,4000,1,4.5,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
17990,18,4,128.0,256,653,16,4020,1,4.4,1
20999,16,6,128.0,256,618,20,4000,1,4.6,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
20990,27,6,64.0,256,65,16,4000,1,4.5,1
19990,25,6,64.0,256,653,32,4000,1,4.4,1
19990,25,6,64.0,256,653,32,4000,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
14990,21,4,64.0,256,641,25,3600,1,4.4,1
15990,15,4,128.0,256,635,8,5000,1,4.3,1
15990,15,4,128.0,256,635,8,5000,1,4.3,1
15490,13,4,64.0,512,64,16,4000,1,4.4,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
17990,30,6,64.0,256,63,25,3500,1,4.5,1
18599,2,6,128.0,256,65,16,3750,0,4.4,1
18450,2,6,128.0,256,65,16,3750,0,4.4,1
29990,14,8,128.0,256,639,5,3700,1,4.6,1
13990,26,4,64.0,256,62,16,4230,1,4.4,1
27999,9,8,256.0,256,618,20,4000,1,4.6,1
35999,7,8,128.0,256,66,16,5000,1,5.0,1
35999,7,8,128.0,257,66,16,5000,1,5.0,1
29990,14,8,128.0,256,639,5,3700,1,4.6,1
39999,11,4,64.0,128,56,8,3000,1,4.5,1
18899,47,6,64.0,128,63,8,3700,0,4.3,1
39999,13,6,128.0,256,639,20,4000,1,4.7,1
39990,6,16,64.0,128,55,20,4000,1,4.3,1
39990,6,32,64.0,128,55,20,4000,1,4.4,1
15490,13,4,64.0,512,64,16,4000,1,4.4,1
15490,13,4,64.0,512,64,16,4000,1,4.4,1
15690,4,4,64.0,256,64,16,5000,0,4.4,1
18899,47,6,64.0,256,63,16,3700,0,4.3,1
16299,1,4,64.0,256,64,16,5000,0,4.4,1
29529,6,32,64.0,128,47,20,4000,1,4.5,1
26990,18,6,128.0,256,639,5,3700,1,4.5,1
29990,14,8,128.0,256,639,5,3700,1,4.6,1
39999,11,4,64.0,128,56,8,3000,1,4.5,1
36990,50,6,64.0,256,63,8,3300,0,4.6,1
39999,25,6,128.0,256,55,16,3000,1,4.6,1
39999,25,3,32.0,128,52,8,3000,1,4.5,1
30100,14,6,128.0,512,63,24,3800,1,4.4,1
19960,28,6,64.0,128,6,24,3500,0,4.3,1
39999,28,4,64.0,2,55,5,2600,1,4.1,1
14990,11,4,64.0,256,6,16,3500,1,4.4,1
12990,5,4,64.0,512,6,8,3300,1,4.3,1
14990,11,4,64.0,256,6,16,3500,1,4.4,1
12990,5,4,64.0,512,6,8,3300,1,4.3,1
10490,8,3,32.0,256,56,8,3000,1,4.4,1
5999,14,2,16.0,256,545,8,4000,1,4.1,1
6999,12,3,32.0,256,545,8,4000,1,4.0,1
14990,12,3,32.0,128,64,8,4050,1,4.0,1
7999,20,3,32.0,128,52,8,4000,1,4.1,1
7999,20,3,32.0,256,57,13,3000,1,4.1,1
9999,16,4,64.0,256,599,8,3760,1,4.3,1
7999,20,3,32.0,128,52,8,4000,1,4.1,1
5999,14,2,16.0,256,545,8,4000,1,4.1,1
9999,16,4,64.0,256,599,8,3760,1,4.3,1
12990,5,4,64.0,512,6,8,3300,1,4.3,1
10490,8,3,32.0,256,56,8,3000,1,4.4,1
39999,28,4,64.0,2,55,5,2600,1,4.1,1
39999,28,3,32.0,128,52,8,3000,1,4.5,1
39999,28,3,32.0,128,52,8,3000,1,4.5,1
