,a_lane1_input,a_lane2_input,a_lane1_output,a_lane2_output,a_lane3_output,a_lane4_output,abd_lane_input_sum,a_jun_output_sum,b_lane1_input,b_lane2_input,b_lane1_output,b_lane2_output,b_lane3_output,b_lane4_output,bac_lane_input_sum,b_jun_output_sum,c_lane1_input,c_lane2_input,c_lane1_output,c_lane2_output,c_lane3_output,c_lane4_output,cbd_lane_input_sum,c_jun_output_sum,d_lane1_input,d_lane2_input,d_lane3_input,d_lane1_output,d_lane2_output,d_lane3_output,d_lane4_output,d_lane5_output,dac_lane_input_sum,d_jun_output_sum
0,6,13,16,16,5,9,35,46,11,14,17,7,8,12,47,44,16,5,7,15,15,16,37,53,5,15,10,10,19,7,14,12,52,62
1,17,6,17,10,15,9,50,51,10,14,19,11,16,14,49,60,8,15,6,18,13,12,50,49,17,10,10,6,16,10,5,7,62,44
2,16,11,6,10,13,13,51,42,6,18,16,16,15,9,58,56,18,13,11,6,13,9,55,39,18,14,7,17,14,11,15,13,73,70
3,19,8,17,12,14,13,55,56,19,7,5,5,11,14,59,35,14,14,13,5,8,11,56,37,9,17,15,8,11,11,18,16,74,64
4,9,7,17,5,9,5,39,36,7,14,12,16,16,6,38,50,8,9,10,18,7,7,40,42,16,17,16,9,16,17,19,16,66,77
5,19,17,6,14,11,5,69,36,15,16,18,15,5,14,55,52,5,17,17,8,16,8,55,49,18,6,19,11,9,8,11,19,67,58
6,7,13,13,19,11,9,55,52,19,16,5,19,6,12,61,42,19,16,15,6,7,16,70,44,16,19,18,17,19,6,16,10,79,68
7,16,17,18,11,14,8,52,51,14,15,6,17,15,11,60,49,15,12,5,5,6,13,46,29,5,13,8,10,9,12,12,19,57,62
8,12,17,18,17,14,6,66,55,18,8,18,5,12,5,53,40,15,16,15,9,16,19,68,59,19,11,16,8,13,14,5,14,73,54
9,10,14,15,7,13,7,62,42,19,6,12,12,17,12,52,53,17,8,18,15,10,13,63,56,19,12,12,15,7,18,13,15,70,68
10,18,10,5,18,6,17,61,46,17,12,13,19,9,8,53,49,6,18,12,15,17,12,57,56,16,5,17,8,5,14,11,8,62,46
11,7,13,7,14,5,6,35,32,7,19,16,7,5,15,42,43,9,12,9,11,11,14,36,45,8,19,17,10,6,12,10,6,60,44
12,5,5,5,16,9,15,39,45,12,18,13,10,16,19,45,58,10,10,18,16,8,5,49,47,17,19,16,7,9,8,6,13,67,43
13,7,18,11,8,10,17,57,46,15,9,18,14,18,16,39,66,8,18,7,10,10,7,58,34,17,11,15,15,19,9,18,6,58,67
14,6,7,8,12,14,12,47,46,15,6,14,12,16,9,40,51,13,15,13,12,6,11,62,42,19,8,5,8,15,6,12,19,51,60
15,8,18,15,10,18,16,50,59,14,13,16,8,18,6,43,48,8,16,13,12,18,14,48,57,10,18,12,14,17,14,15,11,56,71
16,18,12,17,14,17,9,44,57,6,7,16,5,12,17,48,50,17,16,10,5,9,19,47,43,8,10,19,7,7,6,16,19,72,55
17,9,5,19,9,6,14,37,48,11,13,12,14,17,6,40,49,7,11,10,17,15,15,41,57,12,10,14,14,15,18,11,11,52,69
18,6,17,18,11,7,13,59,49,17,9,8,7,5,14,45,34,13,8,7,6,9,17,57,39,19,13,8,11,15,6,19,5,59,56
19,8,15,17,18,17,11,45,63,11,7,7,13,19,10,31,49,5,12,13,6,19,7,39,45,11,9,9,11,7,15,7,9,42,49
20,5,5,15,9,19,19,36,62,15,9,10,13,6,16,41,45,12,16,6,17,19,13,54,55,11,18,18,11,7,8,6,14,64,46
21,13,14,5,11,12,18,43,46,9,12,5,6,13,6,47,30,13,17,10,18,10,8,46,46,7,6,18,13,17,13,5,18,57,66
22,16,11,12,6,11,9,52,38,17,17,13,19,11,13,62,56,12,17,16,6,8,9,54,39,8,13,12,16,19,13,5,15,61,68
23,6,5,14,19,16,6,35,55,16,5,16,6,8,16,40,46,13,8,5,17,8,7,45,37,8,7,14,5,15,15,18,12,48,65
24,7,17,8,18,12,12,47,50,8,17,6,6,8,5,42,25,10,16,5,11,16,10,49,42,15,12,16,16,10,12,8,17,60,63
