,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
0,40,1,3,6,1,19,3,41,1
1,40,1,3,6,1,19,3,41,1
2,71,2,5,6,1,9,4,31,1
3,81,1,3,5,1,5,3,16,1
4,81,2,3,6,1,6,3,22,1
5,78,2,3,6,1,6,3,22,1
6,77,2,3,6,1,6,3,22,1
7,81,0,3,2,1,5,3,12,0
8,61,1,4,6,1,19,3,41,1
9,85,3,5,6,1,22,4,46,1
10,85,3,5,6,1,22,4,46,1
11,103,3,5,6,1,30,9,35,1
12,103,3,5,6,1,30,9,35,1
13,71,2,5,6,1,9,4,31,1
14,100,3,5,6,1,26,5,41,1
15,100,3,5,6,1,26,5,41,1
16,111,4,6,6,1,26,5,41,1
17,111,4,6,6,1,26,5,41,1
18,86,3,5,6,1,24,5,46,1
19,80,2,5,6,1,24,5,46,1
20,79,2,4,6,1,22,4,46,1
21,79,2,4,6,1,22,4,46,1
22,61,1,4,6,1,19,3,41,1
23,71,1,3,6,1,12,4,27,1
24,71,1,3,6,1,12,4,27,1
25,69,2,3,6,1,6,3,22,1
26,85,2,3,6,1,6,3,22,1
27,79,1,3,5,1,5,3,16,0
28,86,2,4,6,1,26,5,41,1
29,72,2,4,6,1,24,5,46,1
30,86,3,5,6,1,24,5,46,1
31,72,2,4,6,1,24,5,46,1
32,62,2,4,6,1,19,3,41,1
33,62,2,4,6,1,19,3,41,1
34,153,8,5,6,1,13,3,22,1
35,68,3,5,0,1,17,4,49,1
36,109,4,5,6,1,26,9,44,1
37,111,4,6,6,1,26,9,44,1
38,100,3,5,6,1,26,9,44,1
39,62,2,4,6,1,17,6,26,1
40,153,8,5,6,1,13,6,41,1
41,56,2,4,6,1,8,3,22,1
42,114,3,6,6,1,32,6,42,1
43,114,3,6,6,1,32,6,42,1
44,129,4,6,6,1,31,6,41,1
45,129,4,6,6,1,31,6,41,1
46,125,4,5,6,1,31,6,41,1
47,125,4,5,6,1,31,6,41,1
48,15,0,3,4,1,9,2,8,0
49,12,0,2,4,1,5,2,10,0
50,18,0,2,2,1,5,0,6,0
51,16,0,2,2,1,5,0,6,0
52,16,0,2,2,1,5,0,6,0
53,3,0,2,2,1,1,0,2,0
54,7,0,2,2,1,7,3,18,0
55,7,0,2,2,1,1,3,1,0
56,18,0,2,2,1,5,2,5,1
57,13,1,3,2,1,5,3,22,1
58,27,0,3,5,1,5,3,40,0
59,10,0,2,2,1,7,3,22,0
60,71,1,4,6,1,22,4,46,1
61,79,2,4,6,1,22,4,46,1
62,71,1,4,6,1,22,4,46,1
63,79,2,4,6,1,22,4,46,1
64,61,1,3,6,1,22,4,46,1
65,61,1,3,6,1,22,4,46,1
66,85,3,5,6,1,22,4,46,1
67,85,3,5,6,1,22,4,46,1
68,103,3,5,6,1,30,9,35,1
69,103,3,5,6,1,30,9,35,1
70,100,3,5,6,1,26,5,41,1
71,100,3,5,6,1,26,5,41,1
72,80,2,5,6,1,24,5,46,1
73,86,3,5,6,1,24,5,46,1
74,86,3,5,6,1,24,5,46,1
75,86,2,4,6,1,26,5,41,1
76,100,3,5,6,1,26,9,44,1
77,62,2,4,6,1,17,6,26,1
78,86,2,4,6,1,26,5,41,1
79,100,3,5,6,1,26,9,44,1
80,62,2,4,6,1,17,6,26,1
81,92,3,5,6,1,25,7,41,1
82,140,5,6,6,1,29,9,36,1
83,61,1,3,6,1,22,4,46,1
84,61,1,3,6,1,22,4,46,1
85,99,3,5,6,1,22,6,46,1
86,114,4,5,6,1,26,9,34,1
87,114,4,5,6,1,26,9,34,1
88,114,4,5,6,1,26,9,34,1
89,91,3,5,6,1,22,4,46,1
90,79,2,4,6,1,22,4,46,1
91,79,2,4,6,1,22,4,46,1
92,91,3,4,6,1,22,4,46,1
93,71,1,4,6,1,22,4,46,1
94,99,3,5,6,1,22,6,46,1
95,79,2,4,6,1,22,4,46,1
96,56,2,4,6,1,8,3,22,1
97,56,2,4,6,1,8,3,22,1
98,56,1,4,6,1,23,4,34,1
99,56,1,4,6,1,22,3,46,1
100,56,1,4,6,1,22,3,46,1
101,56,1,3,6,1,22,3,46,1
102,56,1,4,6,1,23,4,34,1
103,56,1,4,6,1,23,4,34,1
104,49,1,4,5,1,8,4,22,0
105,51,1,4,5,1,8,4,22,0
106,53,1,4,5,1,8,4,22,0
107,47,1,3,5,1,8,3,22,0
