Mobiles,Colors,Price in Rupees,Off(%),Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Display,Secondary_Camera(MP),Primary_Camera(MP),Battery_details,Warranty(Year),Rating
RealmeC2,DiamondBlack,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
RealmeC2,DiamondBlue,5999,14,2 GB  , 16 GB  ,  256 GB,yes,6.1,HD,5,13 + 2 ,4000,1,4.5
SamsungGalaxyOnNxt,Gold,8990,49,3 GB  , 64 GB  ,  256 GB,yes,5.5,FullHDDisplay,8,13,3300,1,4.3
OPPOA37f,Grey,10000,10,2 GB  , 16 GB  ,  128 GB,yes,5,HDDisplay,5,8,2630,1,4.2
OPPOA71,Gold,10000,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.2
OPPOA71,Black,9800,25,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.2
OPPOA71NewEdition,Black,9799,10,3 GB  , 16 GB  ,  256 GB,yes,5.2,HDDisplay,5,13,3000,1,4.4
OPPONeo74G,Black,10000,10,1 GB  , 16 GB  ,  32 GB,yes,5,HDDisplay,5,8,2420,0,3.8
OPPOA1K,Red,7990,27,2 GB  , 32 GB  ,  256 GB,yes,6.1,NA,5,8,4000,1,4.4
OPPOA3s,Purple,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOA3s,Red,10990,21,4 GB  , 64 GB  ,  256 GB,yes,6.2,HD,8,13 + 2 ,4230,1,4.3
OPPOK1,PianoBlack,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
OPPOK1,AstralBlue,14990,21,4 GB  , 64 GB  ,  256 GB,yes,6.41,NA,25,16 + 2 ,3600,1,4.4
