Price_in_Rupees,Ram,Rom,Expandable_GB/TB,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year),Rating,Dual_sim_num
5999,2,16,256,6.1,5,4000,1,4.5,1
5999,2,16,256,6.1,5,4000,1,4.5,1
8990,3,64,256,5.5,8,3300,1,4.3,1
10000,2,16,128,5.0,5,2630,1,4.2,1
10000,3,16,256,5.2,5,3000,1,4.2,1
9800,3,16,256,5.2,5,3000,1,4.2,1
9799,3,16,256,5.2,5,3000,1,4.4,1
10000,1,16,32,5.0,5,2420,1,3.8,1
7990,2,32,256,6.1,5,4000,1,4.4,1
10990,4,64,256,6.2,8,4230,1,4.3,1
10990,4,64,256,6.2,8,4230,1,4.3,1
14990,4,64,256,6.41,25,3600,1,4.4,1
14990,4,64,256,6.41,25,3600,1,4.4,1
8990,3,64,256,5.5,8,3300,1,4.3,1
13999,4,64,256,6.3,13,4000,1,4.5,1
13999,4,64,256,6.3,13,4000,1,4.5,1
16999,6,128,256,6.3,13,4000,1,4.5,1
16999,6,128,256,6.3,13,4000,1,4.5,1
10999,4,64,256,6.22,13,4230,1,4.4,1
9999,3,64,256,6.22,13,4230,1,4.5,1
9990,3,32,256,6.2,8,4230,1,4.3,1
9990,3,32,256,6.2,8,4230,1,4.3,1
7990,2,32,256,6.1,5,4000,1,4.4,1
8990,2,16,256,5.7,8,3180,1,4.2,1
8990,2,16,256,5.7,8,3180,1,4.2,1
8620,3,16,256,5.2,5,3000,1,4.4,1
10990,3,16,256,5.2,5,3000,1,4.4,1
9990,2,16,128,5.0,5,2630,1,4.2,1
10999,3,32,256,6.3,13,4000,1,4.4,1
8999,3,32,256,6.22,13,4230,1,4.5,1
10999,4,64,256,6.22,13,4230,1,4.4,1
8999,3,32,256,6.22,13,4230,1,4.5,1
7999,3,32,256,6.1,5,4000,1,4.4,1
7999,3,32,256,6.1,5,4000,1,4.4,1
59999,64,128,256,5.8,5,3000,1,4.6,1
8499,4,64,256,5.99,8,5000,1,4.3,1
